date,avg_co,co_resid,wind_power_dir_avg,power_norm,speed_norm
20aug2001,1.0875,.8217981,5.324543,7.157835,13.95403
21aug2001,1.7,1.460865,175.2399,34.19375,38.47183
22aug2001,1.408333,.9974377,217.5131,31.89356,32.36577
23aug2001,.7666667,.5277799,24.17853,13.70398,19.96202
24aug2001,1.3375,1.068619,89.77617,25.56108,37.32404
29aug2001,1.954167,1.629107,110.1817,15.30398,28.99866
01sep2001,1.085417,.6954501,65.36287,32.48455,39.77087
02sep2001,1.85,1.388849,207.3421,8.974118,26.79091
03sep2001,.9666666,.3800154,240.7988,28.63745,33.55209
04sep2001,.5130435,.0341641,48.17332,55.82753,48.26672
05sep2001,1.6,1.1164,102.7819,17.39602,30.93643
06sep2001,1.3125,.6668284,161.7544,39.82016,43.63015
07sep2001,.9916667,.3160009,193.7938,99.7452,60.08595
08sep2001,.9125,.3135129,213.1082,104.8659,54.73757
09sep2001,.8541667,.3930156,276.0462,31.36965,28.04388
10sep2001,.9521739,.4467271,252.5086,56.66901,42.1105
11sep2001,1.483333,1.004454,188.367,6.515593,20.70423
12sep2001,1.18125,.6164451,230.4559,19.25964,31.58874
13sep2001,.6543478,.2184169,49.93815,144.1156,70.50879
14sep2001,1.220833,.8400237,81.29253,64.56066,53.74355
15sep2001,1.6375,1.247534,92.03471,16.20883,30.06463
16sep2001,2.254167,1.835716,105.4441,15.05362,30.85679
17sep2001,2.029167,1.566421,97.49645,6.8589,15.38266
18sep2001,1.517391,1.081213,79.54292,36.74655,40.56054
19sep2001,1.279167,.838267,238.7336,33.69518,28.67539
20sep2001,1.670833,1.234903,267.7271,25.51573,29.76776
21sep2001,1.8,1.41919,284.6445,20.25082,22.67365
22sep2001,2.279167,1.804085,217.4952,9.219361,24.20125
23sep2001,1.370833,1.037498,348.9175,59.87056,18.02908
24sep2001,1.0125,.6642568,350.5151,170.7155,76.93037
25sep2001,1.191667,.8699908,329.8448,69.45354,51.43055
26sep2001,1.204167,.7632669,296.4016,40.76469,41.26504
27sep2001,1.3,.9491847,24.80961,36.34194,37.32648
28sep2001,1.130435,.7790124,31.65551,53.79473,49.38465
29sep2001,1.5375,1.147534,47.21309,13.41899,26.36846
30sep2001,2.4375,2.019049,117.4153,5.008782,9.589226
01oct2001,2.45,1.107863,245.5918,16.55363,30.97216
02oct2001,2.366667,.969892,225.811,18.1048,32.43747
03oct2001,1.5625,.2422089,243.2615,83.63901,52.8714
04oct2001,1.573913,.4157942,343.5003,10.5454,23.69702
05oct2001,1.558333,.4348583,324.0065,14.20058,21.77666
06oct2001,1.808333,.6757014,298.4446,42.69078,38.40799
07oct2001,2.516667,1.440666,104.6702,11.25953,18.26497
08oct2001,2.083333,.8690119,171.9474,61.1607,51.13185
09oct2001,1.947826,.6749566,194.3608,119.8487,68.57034
10oct2001,1.758333,.5658584,197.3267,167.4316,73.78835
11oct2001,1.8625,.6749938,72.7091,20.00377,16.61576
12oct2001,2.05,.861887,345.0118,29.56228,15.46376
13oct2001,2.091667,.779894,174.1648,49.7689,35.32861
14oct2001,1.804167,.6635283,256.4247,62.09374,50.99079
15oct2001,2,.879704,249.4469,46.82327,49.47219
16oct2001,1.517391,.4236627,315.4428,129.7019,64.39756
17oct2001,2.15,1.051551,282.8094,12.74026,23.65684
18oct2001,2.295833,1.108327,199.0459,126.1747,62.82494
19oct2001,2.2625,1.074387,282.949,6.783326,17.308
20oct2001,2.6125,1.300727,229.1469,24.93324,37.77982
21oct2001,2.391667,1.221641,121.6309,5.699237,11.39703
22oct2001,3.120833,1.906512,139.9265,14.37571,28.57648
23oct2001,2.6125,1.424746,231.4015,39.99896,36.14739
24oct2001,2.1375,.9450251,252.4262,98.36781,45.42401
25oct2001,1.933333,.8680261,264.2022,482.8793,109.5704
26oct2001,1.7625,.6671987,283.5786,209.0773,81.15212
27oct2001,2.354167,1.221535,320.0573,36.67228,35.92579
28oct2001,2.333333,1.257333,202.3516,100.8438,58.16127
29oct2001,1.895652,.7107182,21.0783,16.09517,6.474406
30oct2001,2.429167,1.335438,106.465,31.51454,39.07569
31oct2001,2.029167,.8366918,202.5253,146.1244,71.16332
01nov2001,1.908333,.6802069,206.6343,146.1638,72.48233
02nov2001,1.704167,.4460461,270.8005,46.41094,43.18368
03nov2001,2.708333,1.441056,241.2657,11.98961,28.5657
04nov2001,2.129167,.9185206,20.06597,11.89445,13.3905
05nov2001,3.658333,2.432779,208.1163,3.614794,19.13966
06nov2001,2.704167,1.475792,217.9196,26.75978,38.35409
07nov2001,2.804167,1.485956,213.2929,9.865109,29.14362
08nov2001,1.9375,.7387609,319.2659,91.14251,40.78278
09nov2001,2.6625,1.498405,230.603,54.84156,47.14069
10nov2001,1.9375,.6702225,336.5898,47.20104,29.1593
11nov2001,2.395833,1.279213,33.80736,16.71909,17.72891
12nov2001,3.158333,1.932779,191.3895,13.0802,30.22798
13nov2001,2.491304,1.26293,203.7877,51.93945,50.99272
14nov2001,2.55,1.316905,208.8064,26.47877,37.91761
15nov2001,2.454167,1.22604,235.4815,29.80181,40.96599
16nov2001,2.004167,.746046,34.13272,10.32086,17.86818
17nov2001,2.975,1.707722,178.5374,8.171,25.80428
18nov2001,2.383333,1.172687,202.7286,15.20254,33.13416
19nov2001,1.686957,.4614022,310.46,109.7401,57.46318
20nov2001,2.3,1.193825,236.5027,27.23105,32.98973
21nov2001,2.25,1.046292,225.1476,40.33341,43.42876
22nov2001,1.504167,.3054275,193.935,59.83642,52.75737
23nov2001,1.5875,.3587667,162.7894,49.91681,49.03088
24nov2001,1.229167,-.0381109,171.451,160.7036,72.52209
25nov2001,1.195833,.0792127,247.7795,171.7452,72.4259
26nov2001,1.816667,.6557503,106.0537,57.27208,47.46249
27nov2001,1.558333,.4239845,257.2038,73.15451,46.23148
28nov2001,1.554167,.4432704,291.8543,1.697014,3.609111
29nov2001,1.069565,-.0645359,53.22871,61.00886,47.10835
30nov2001,1.554167,.3900714,224.5401,52.83649,37.47595
01dec2001,1.791667,1.037112,254.7155,50.77776,46.00984
02dec2001,1.7875,1.061403,192.7466,62.7898,46.99826
03dec2001,1.979167,1.144136,195.8822,22.27571,36.3284
04dec2001,1.708333,.8704827,206.3747,49.15885,51.51307
05dec2001,1.245833,.4032616,209.9532,177.7484,73.59804
06dec2001,1.8,1.056422,223.9622,26.40794,36.61906
07dec2001,1.1,.3264283,57.89306,19.6616,25.08611
08dec2001,1.1,.3172714,327.9395,21.56465,24.15009
09dec2001,1.6375,.9395766,216.7459,6.390754,17.37518
10dec2001,1.995833,1.225441,219.1164,14.15415,31.84385
11dec2001,2.429167,1.685341,162.3205,12.24229,28.02987
12dec2001,1.978261,1.229715,175.415,16.6749,35.37788
13dec2001,1.333333,.5897558,276.3117,33.55735,41.74564
14dec2001,1.558333,.8129353,329.4659,12.22868,22.85011
15dec2001,1.983333,1.228778,154.4077,24.21679,32.72559
16dec2001,1.852174,1.126077,164.7449,17.61568,34.34609
17dec2001,1.729167,.9587739,335.7841,26.56031,34.60956
18dec2001,2.152174,1.408349,224.6668,12.69553,29.81924
19dec2001,1.045833,.3254606,307.8853,73.48478,47.4383
20dec2001,1.6,.8845961,266.6599,14.8878,32.30096
21dec2001,2.275,1.529602,137.7018,9.891629,14.96779
22dec2001,1.3875,.6047713,193.0636,132.9738,62.82689
23dec2001,1.325,.6760699,251.3972,158.8484,72.73906
24dec2001,1.195833,.5590901,275.5691,82.47022,60.38401
25dec2001,1.4375,.8273242,264.9947,39.11693,45.74366
26dec2001,1.683333,1.068437,252.1234,64.39082,54.3651
27dec2001,1.56087,.9509416,263.4373,96.27618,62.27066
28dec2001,1.5,.8600779,287.5907,63.89021,51.73141
29dec2001,1.441667,.7925875,292.8635,84.33227,60.80212
30dec2001,1.595833,1.003386,270.3699,73.13445,56.50155
31dec2001,1.743478,1.106735,267.2627,38.48997,46.10865
01jan2002,1.691667,.8729246,297.068,5.323121,23.19769
02jan2002,2.325,1.445054,278.7579,6.101876,22.57885
03jan2002,2.075,1.256506,269.8203,14.88564,30.84559
04jan2002,2.029167,1.075202,231.1548,82.86313,59.79382
05jan2002,2.145833,1.231705,230.2058,29.25139,41.46099
06jan2002,1.529167,.6716703,345.7806,81.16364,55.19292
07jan2002,1.9125,1.067191,289.7134,34.32027,37.95679
08jan2002,2.056522,1.132304,220.9488,67.09978,56.32779
09jan2002,1.941667,.9199161,249.9088,75.07022,57.97236
10jan2002,1.775,.8228562,293.9914,34.30376,38.13559
11jan2002,1.808333,.8543689,258.6053,44.82371,45.61838
12jan2002,1.675,.7118787,286.9024,42.20571,39.9548
13jan2002,2.075,1.16851,185.1542,24.41701,34.5593
14jan2002,2.1125,1.161715,239.0644,53.71872,42.5387
